redcap_data_access_group;sl;n
group1;4;1
group1;10;1
group10;10;3
group10;NA;1
group11;11;1
group12;4;1
group13;4;1
group13;10;2
group14;4;1
group14;5;1
group2;5;1
group3;6;1
group3;8;1
group3;10;1
group4;9;1
group4;14;1
group6;5;1
group7;6;1
group7;10;2
group8;5;1
group8;10;1
group9;10;2
